[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] Loaded HTML Templates (5): 
	- 
	- about.html
	- blog.html
	- index.html
	- notes.html

[GIN-debug] GET    /statics/*filepath        --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] HEAD   /statics/*filepath        --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] GET    /                         --> server/module/request.Homepage.func1 (3 handlers)
[GIN-debug] GET    /favicon.ico              --> server/module/request.Favicon.func1 (3 handlers)
[GIN-debug] GET    /blog/:id                 --> server/module/request.Blog.func1 (3 handlers)
[GIN-debug] GET    /notes                    --> server/module/request.Notes.func1 (3 handlers)
[GIN-debug] GET    /about                    --> server/module/request.About.func1 (3 handlers)
[GIN-debug] GET    /ajax/blog/getAll         --> server/module/service.GetBlogAll.func1 (3 handlers)
[GIN-debug] GET    /ajax/comment/getAll      --> server/module/service.GetCommentAll.func1 (3 handlers)
[GIN-debug] POST   /ajax/comment/new         --> server/module/service.NewComment.func1 (3 handlers)
[GIN-debug] POST   /ajax/comment/pro         --> server/module/service.ProComment.func1 (3 handlers)
[GIN-debug] POST   /ajax/comment/con         --> server/module/service.ConComment.func1 (3 handlers)
[GIN-debug] GET    /ajax/note/getAll         --> server/module/service.GetNoteAll.func1 (3 handlers)
[GIN-debug] GET    /ajax/util/setCookie      --> server/module/service.SetCookie.func1 (3 handlers)
[GIN-debug] GET    /admin/note/new           --> server/module/service.NewNote.func1 (4 handlers)
[GIN-debug] GET    /admin/note/alt           --> server/module/service.AltNote.func1 (4 handlers)
[GIN-debug] Listening and serving HTTPS on :2333
[GIN] 2020/12/16 - 17:06:03 | 200 |     268.069µs |  114.42.182.164 | GET      "/"
[GIN] 2020/12/16 - 17:06:03 | 200 |     578.439µs |  114.42.182.164 | GET      "/ajax/blog/getAll"
[GIN] 2020/12/16 - 17:06:03 | 200 |     162.155µs |  114.42.182.164 | GET      "/favicon.ico"
[GIN] 2020/12/16 - 17:06:05 | 200 |    1.008011ms |  114.42.182.164 | GET      "/blog/8"
[GIN] 2020/12/16 - 17:06:05 | 200 |      33.799µs |  114.42.182.164 | GET      "/statics/css/highlight/night-owl.css"
[GIN] 2020/12/16 - 17:06:05 | 200 |     411.996µs |  114.42.182.164 | GET      "/statics/css/root/blog.css"
[GIN] 2020/12/16 - 17:06:05 | 200 |   59.234856ms |  114.42.182.164 | GET      "/statics/js/root/blog.js"
[GIN] 2020/12/16 - 17:06:05 | 200 |  125.092571ms |  114.42.182.164 | GET      "/statics/js/highlight.min.js"
[GIN] 2020/12/16 - 17:06:06 | 200 |    1.750033ms |  114.42.182.164 | GET      "/ajax/comment/getAll?id=8"
[GIN] 2020/12/16 - 17:06:27 | 200 |    1.551834ms |  114.42.182.164 | GET      "/blog/7"
[GIN] 2020/12/16 - 17:06:27 | 200 |    2.794861ms |  114.42.182.164 | GET      "/statics/images/blog/7/1.png"
[GIN] 2020/12/16 - 17:06:27 | 200 |    2.726446ms |  114.42.182.164 | GET      "/statics/images/blog/7/2.png"
[GIN] 2020/12/16 - 17:06:27 | 200 |     359.392µs |  114.42.182.164 | GET      "/ajax/comment/getAll?id=7"
[GIN] 2020/12/16 - 17:06:28 | 200 |      374.61µs |  114.42.182.164 | GET      "/"
[GIN] 2020/12/16 - 17:06:28 | 200 |     410.688µs |  114.42.182.164 | GET      "/ajax/blog/getAll"
[GIN] 2020/12/16 - 17:06:31 | 200 |     274.223µs |  114.42.182.164 | GET      "/notes?showSidebar=true"
[GIN] 2020/12/16 - 17:06:31 | 200 |      90.263µs |  114.42.182.164 | GET      "/statics/css/root/notes.css"
[GIN] 2020/12/16 - 17:06:31 | 200 |      77.769µs |  114.42.182.164 | GET      "/statics/js/root/notes.js"
[GIN] 2020/12/16 - 17:06:32 | 200 |     353.575µs |  114.42.182.164 | GET      "/ajax/note/getAll"
[GIN] 2020/12/16 - 17:06:34 | 200 |     284.968µs |  114.42.182.164 | GET      "/about?showSidebar=true"
[GIN] 2020/12/16 - 17:06:34 | 200 |     833.292µs |  114.42.182.164 | GET      "/statics/css/root/about.css"
[GIN] 2020/12/16 - 17:06:34 | 200 |      752.24µs |  114.42.182.164 | GET      "/statics/js/root/about.js"
[GIN] 2020/12/16 - 17:06:35 | 200 |     265.881µs |  114.42.182.164 | GET      "/notes?showSidebar=true"
[GIN] 2020/12/16 - 17:06:36 | 200 |     278.559µs |  114.42.182.164 | GET      "/ajax/note/getAll"
[GIN] 2020/12/16 - 17:06:37 | 200 |     286.308µs |  114.42.182.164 | GET      "/?showSidebar=true"
[GIN] 2020/12/16 - 17:06:37 | 200 |     405.604µs |  114.42.182.164 | GET      "/ajax/blog/getAll"
[GIN] 2020/12/16 - 17:06:38 | 200 |     351.715µs |  114.42.182.164 | GET      "/notes?showSidebar=true"
[GIN] 2020/12/16 - 17:06:38 | 200 |     290.311µs |  114.42.182.164 | GET      "/ajax/note/getAll"
[GIN] 2020/12/16 - 17:06:44 | 200 |     278.489µs |  114.42.182.164 | GET      "/?showSidebar=true"
[GIN] 2020/12/16 - 17:06:44 | 200 |     419.764µs |  114.42.182.164 | GET      "/ajax/blog/getAll"
[GIN] 2020/12/16 - 17:06:49 | 200 |     296.524µs |  114.42.182.164 | GET      "/about?showSidebar=true"
[GIN] 2020/12/16 - 17:06:50 | 200 |     250.854µs |  114.42.182.164 | GET      "/?showSidebar=true"
[GIN] 2020/12/16 - 17:06:50 | 200 |     429.141µs |  114.42.182.164 | GET      "/ajax/blog/getAll"
[GIN] 2020/12/16 - 17:06:52 | 200 |     360.122µs |  114.42.182.164 | GET      "/notes?showSidebar=true"
[GIN] 2020/12/16 - 17:06:52 | 200 |     321.503µs |  114.42.182.164 | GET      "/ajax/note/getAll"
[GIN] 2020/12/16 - 17:17:11 | 200 |     242.581µs |  183.230.12.156 | GET      "/"
[GIN] 2020/12/16 - 17:17:11 | 200 |     666.308µs |  183.230.12.156 | GET      "/ajax/blog/getAll"
[GIN] 2020/12/16 - 17:17:16 | 200 |     875.315µs |  183.230.12.156 | GET      "/blog/8"
[GIN] 2020/12/16 - 17:17:16 | 200 |     301.003µs |  183.230.12.156 | GET      "/ajax/comment/getAll?id=8"
[GIN] 2020/12/16 - 17:18:10 | 200 |      634.41µs |  183.230.12.156 | GET      "/blog/7"
[GIN] 2020/12/16 - 17:18:10 | 200 |       364.6µs |  183.230.12.156 | GET      "/ajax/comment/getAll?id=7"
[GIN] 2020/12/16 - 17:18:10 | 200 |     844.385µs |  183.230.12.156 | GET      "/blog/6"
[GIN] 2020/12/16 - 17:18:11 | 200 |   92.490469ms |  183.230.12.156 | GET      "/statics/images/blog/6/1.png"
[GIN] 2020/12/16 - 17:18:11 | 200 |   92.108886ms |  183.230.12.156 | GET      "/statics/images/blog/6/2.png"
[GIN] 2020/12/16 - 17:18:11 | 200 |     693.194µs |  183.230.12.156 | GET      "/ajax/comment/getAll?id=6"
[GIN] 2020/12/16 - 17:18:11 | 200 |  120.751369ms |  183.230.12.156 | GET      "/statics/images/blog/6/6.png"
[GIN] 2020/12/16 - 17:18:11 | 200 |  121.544839ms |  183.230.12.156 | GET      "/statics/images/blog/6/3.png"
[GIN] 2020/12/16 - 17:18:11 | 200 |  125.003638ms |  183.230.12.156 | GET      "/statics/images/blog/6/5.png"
[GIN] 2020/12/16 - 17:18:11 | 200 |  124.187426ms |  183.230.12.156 | GET      "/statics/images/blog/6/9.png"
[GIN] 2020/12/16 - 17:18:11 | 200 |  177.612342ms |  183.230.12.156 | GET      "/statics/images/blog/6/4.png"
[GIN] 2020/12/16 - 17:18:11 | 200 |  234.487595ms |  183.230.12.156 | GET      "/statics/images/blog/6/7.png"
[GIN] 2020/12/16 - 17:18:11 | 200 |  234.446229ms |  183.230.12.156 | GET      "/statics/images/blog/6/8.png"
[GIN] 2020/12/16 - 18:00:41 | 200 |     248.976µs |  183.230.12.156 | GET      "/"
[GIN] 2020/12/16 - 18:00:41 | 200 |     698.373µs |  183.230.12.156 | GET      "/ajax/blog/getAll"
[GIN] 2020/12/16 - 18:00:41 | 304 |      81.344µs |  183.230.12.156 | GET      "/statics/images/blog/cover/8.webp"
[GIN] 2020/12/16 - 18:02:43 | 304 |      69.679µs |  183.230.12.156 | GET      "/statics/images/blog/cover/8.webp"
[GIN] 2020/12/16 - 18:02:43 | 200 |    1.617868ms |  183.230.12.156 | GET      "/favicon.ico"
[GIN] 2020/12/16 - 18:02:59 | 200 |     253.618µs |  183.230.12.156 | GET      "/notes?showSidebar=true"
[GIN] 2020/12/16 - 18:02:59 | 200 |     285.606µs |  183.230.12.156 | GET      "/ajax/note/getAll"
[GIN] 2020/12/16 - 18:03:00 | 200 |     277.744µs |  183.230.12.156 | GET      "/about?showSidebar=true"
[GIN] 2020/12/16 - 18:03:01 | 200 |     242.109µs |  183.230.12.156 | GET      "/?showSidebar=true"
[GIN] 2020/12/16 - 18:03:01 | 200 |     384.765µs |  183.230.12.156 | GET      "/ajax/blog/getAll"
[GIN] 2020/12/16 - 18:03:37 | 200 |     729.013µs |  183.230.12.156 | GET      "/blog/8"
